,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
296,2021-03-12,5.48606,5.6243300000000005,5.48606,5.57827,3696.16
297,2021-03-15,5.53212,5.57827,5.53212,5.53212,1491.36
298,2021-03-16,5.53212,5.6243300000000005,5.53212,5.6243300000000005,4851.6
299,2021-03-17,5.57827,5.6243300000000005,5.53212,5.57827,34053.76
300,2021-03-18,5.57827,5.6243300000000005,5.57827,5.6243300000000005,639.6
302,2021-03-22,5.80875,5.85481,5.76269,5.85481,9483.76
303,2021-03-23,5.85481,6.085380000000001,5.85481,5.9009599999999995,8411.52
304,2021-03-24,5.85481,5.9009599999999995,5.80875,5.80875,8454.16
305,2021-03-25,5.80875,5.947019999999999,5.80875,5.80875,12043.2
306,2021-03-26,5.80875,5.85481,5.80875,5.80875,1728.48
307,2021-03-29,5.80875,5.85481,5.80875,5.80875,1853.28
308,2021-03-30,5.80875,5.85481,5.76269,5.80875,1896.96
309,2021-03-31,5.76269,5.80875,5.76269,5.80875,109.2
310,2021-04-01,5.80875,5.9009599999999995,5.80875,5.9009599999999995,718.64
311,2021-04-06,5.9009599999999995,5.9009599999999995,5.82721,5.9009599999999995,3678.48
313,2021-04-08,5.8825,5.9009599999999995,5.8825,5.8825,1385.28
314,2021-04-09,5.8825,5.91942,5.86404,5.91942,791.44
315,2021-04-12,5.9009599999999995,5.91942,5.8825,5.91942,2620.8
316,2021-04-13,5.8825,5.8825,5.84567,5.8825,1095.12
317,2021-04-14,5.86404,5.9009599999999995,5.82721,5.9009599999999995,3598.4
319,2021-04-16,5.95625,6.26971,5.91942,6.085380000000001,36574.72
320,2021-04-19,6.085380000000001,6.25135,6.01163,6.25135,17079.92
321,2021-04-20,6.232880000000001,6.28817,6.03,6.28817,7269.6
322,2021-04-21,6.232880000000001,6.36192,5.99317,6.12221,8845.2
323,2021-04-22,6.085380000000001,6.085380000000001,5.99317,5.99317,445.12
324,2021-04-23,5.99317,6.25135,5.99317,6.12221,46389.2
325,2021-04-26,6.15913,6.58327,6.0484599999999995,6.54635,25880.4
328,2021-04-29,6.3251,6.60173,6.3251,6.527880000000001,1116.96
329,2021-04-30,6.509519999999999,6.509519999999999,6.232880000000001,6.45413,20424.56
331,2021-05-05,6.3251,6.527880000000001,6.1776,6.509519999999999,11875.76
332,2021-05-06,6.54635,6.60173,6.36192,6.54635,1915.68
333,2021-05-07,6.509519999999999,6.73077,6.49106,6.73077,12682.8
334,2021-05-10,6.73077,6.73077,6.60173,6.71231,1921.92
335,2021-05-11,6.58327,6.73077,6.54635,6.73077,4434.56
336,2021-05-12,6.638560000000001,6.73077,6.527880000000001,6.73077,904.8
337,2021-05-13,6.73077,6.82298,6.5648100000000005,6.82298,4825.6
338,2021-05-14,6.657019999999999,6.82298,6.657019999999999,6.73077,8798.4
339,2021-05-17,6.87827,6.915189999999999,6.67548,6.915189999999999,3303.04
340,2021-05-18,6.73077,6.93365,6.67548,6.73077,2501.2
341,2021-05-19,6.749230000000001,6.93365,6.73077,6.73077,2298.4
342,2021-05-20,6.896730000000001,6.896730000000001,6.638560000000001,6.638560000000001,3340.48
343,2021-05-21,6.60173,6.749230000000001,6.60173,6.749230000000001,697.84
344,2021-05-24,6.638560000000001,6.82298,6.638560000000001,6.73077,2496.0
345,2021-05-25,6.786060000000001,6.786060000000001,6.71231,6.71231,1469.52
346,2021-05-26,6.638560000000001,6.786060000000001,6.638560000000001,6.638560000000001,1119.04
347,2021-05-27,6.657019999999999,6.657019999999999,6.60173,6.60173,900.64
348,2021-05-28,6.638560000000001,6.767689999999999,6.6201,6.6201,2028.0
349,2021-05-31,6.6201,6.71231,6.60173,6.60173,1258.4
350,2021-06-01,6.6201,6.638560000000001,6.60173,6.638560000000001,1716.0
351,2021-06-02,6.85981,6.85981,6.6201,6.6201,2784.08
352,2021-06-04,6.6201,6.73077,6.6201,6.73077,1156.48
353,2021-06-07,6.80452,6.82298,6.638560000000001,6.638560000000001,982.8
354,2021-06-08,6.638560000000001,6.786060000000001,6.638560000000001,6.73077,1968.72
355,2021-06-09,6.82298,6.82298,6.73077,6.73077,271.44
356,2021-06-10,6.657019999999999,6.657019999999999,6.638560000000001,6.638560000000001,514.8
357,2021-06-11,6.67548,6.73077,6.67548,6.73077,243.36
358,2021-06-14,6.638560000000001,6.73077,6.638560000000001,6.69385,1900.08
359,2021-06-15,6.67548,6.71231,6.67548,6.71231,355.68
360,2021-06-16,6.67548,6.69385,6.67548,6.69385,1192.88
361,2021-06-17,6.73077,6.73077,6.638560000000001,6.69385,1579.76
362,2021-06-18,6.69385,6.69385,6.638560000000001,6.69385,837.2
363,2021-06-21,6.73077,6.73077,6.69385,6.69385,462.8
364,2021-06-22,6.69385,6.71231,6.69385,6.71231,243.36
366,2021-06-24,6.73077,6.73077,6.71231,6.71231,2507.44
367,2021-06-25,6.71231,6.73077,6.71231,6.73077,2598.96
368,2021-06-28,6.638560000000001,6.80452,6.638560000000001,6.749230000000001,904.8
369,2021-06-29,6.80452,6.85981,6.67548,6.67548,1388.4
370,2021-06-30,6.73077,6.80452,6.69385,6.69385,1848.08
371,2021-07-01,6.69385,6.73077,6.69385,6.73077,592.8
373,2021-07-05,6.69385,6.80452,6.69385,6.80452,384.8
374,2021-07-06,6.73077,6.80452,6.638560000000001,6.638560000000001,1461.2
375,2021-07-07,6.67548,6.67548,6.67548,6.67548,698.88
376,2021-07-08,6.73077,6.73077,6.657019999999999,6.657019999999999,1401.92
377,2021-07-09,6.69385,6.69385,6.638560000000001,6.69385,846.56
